2022-04-18 21:12:05 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 167102
2022-04-18 21:12:05 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 168193
2022-04-18 21:12:05 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 168224
2022-04-18 21:12:05 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 168257
2022-04-18 21:12:06 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 168292
2022-04-18 21:18:43 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 129219
2022-04-18 21:18:43 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 130307
2022-04-18 21:18:43 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 130340
2022-04-18 21:18:43 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 130375
2022-04-18 21:18:43 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.103:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 130411
